,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
27,345,1,345,-3,SASKATCHEWAN,LA,15,JL,1907,AMNH,506635,8.9,4,2.9,1.8,59.8,57.6,42.8,17.2,13.8,NA,YELLOW,NA,-108,52,ywar2,ywar5,ywar5
28,346,1,346,-3,ALBERTA,ATHABAS,22,JE,1892,AMNH,58478,8.5,3.8,2.7,2,58.9,58.1,43.5,17.7,11.3,NA,YELLOW,NA,-110,58,ywar4,ywar4,ywar4
29,347,1,347,-3,QUEBEC,GROSSEI,28,JE,1923,AMNH,791653,8.9,4.2,2.8,1.9,60.3,61.6,45.6,17.7,11.5,NA,YELLOW,NA,-60,46,ywar6,ywar6,ywar6
30,348,1,348,-3,BRITCOL,DEERP,10,JE,1890,AMNH,56637,8.8,3.7,3,1.7,58.8,58.2,42.7,17,10.2,NA,YELLOW,NA,-118,50,ywar3,ywar3,ywar3
31,459,1,459,3,NWTERR,MACKENZ,22,JL,1907,AMNH,101830,8.6,3.7,2.7,1.8,58.3,57.6,37.6,17.7,12,NA,YELLOW,RUBIGINOSA,-114,60,ywar4,ywar4,ywar4
32,461,1,461,1,VERMONT,RUTLAND,10,JE,1889,AMNH,36214,9.3,3.4,3.1,1.7,62.8,62.7,43.1,18,14.1,NA,YELLOW,AESTIVA,-72,42,ywar6,ywar6,ywar6
33,462,1,462,1,MASSACHUSETTS,L,20,JE,1887,AMNH,506624,8.7,4.1,2.9,2,62.3,60.9,43.2,18.5,12,NA,YELLOW,AESTIVA,-70,42,ywar6,ywar6,ywar6
34,463,1,463,1,MASSACHUSETTS,C,6,JE,1892,AMNH,380848,9.2,4,3,2,62.3,62.8,45.1,18.2,11.9,NA,YELLOW,AESTIVA,-70,42,ywar6,ywar6,ywar6
35,464,1,464,1,MASSACHUSETTS,C,3,JE,1889,AMNH,380846,9.1,3.9,3,1.7,60.8,59.4,41,18,12.2,NA,YELLOW,AESTIVA,-70,42,ywar6,ywar6,ywar6
36,465,1,465,1,MASSACHUSETTS,C,6,JE,1892,AMNH,380849,9.4,4.3,3.3,1.9,63,63.1,44,19.3,12.2,NA,YELLOW,AESTIVA,-70,42,ywar6,ywar6,ywar6
37,466,1,466,1,RHODEISLAND,HU,24,JE,1893,AMNH,440069,9.7,3.9,2.8,1.8,60.7,60.4,45.6,18.1,13,NA,YELLOW,AESTIVA,-71,42,NA,NA,ywar6
38,486,1,486,2,MANITOBA,CHURCH,27,JE,1964,AMNH,785821,9.1,3.6,3.2,1.8,60.4,59.5,40.8,17.9,11.7,10,YELLOW,AMNICOLA,-94,58,ywar1,ywar1,ywar1
39,493,1,493,4,NEVADA,DOUGLAS,13,JL,1898,AMNH,89469,8.7,3.7,3.2,1.6,61.6,60.3,46.7,18.7,9.1,NA,YELLOW,MORCOMI,-118,38,NA,NA,ywar3
40,494,1,494,1,SASKATCHEWAN,MA,5,JL,1906,AMNH,380963,9,4,2.9,1.7,61.6,61.1,43.9,17.6,12.3,NA,YELLOW,AESTIVA,-108,48,ywar3,ywar3,ywar3
41,499,1,499,4,BRITCOL,OKANAG,4,JE,1917,AMNH,381017,9,3.4,3.2,1.5,60.7,61.3,41.7,17.8,11.5,NA,YELLOW,MORCOMI,-118,48,ywar3,ywar3,ywar3
42,530,1,530,1,NEWYORK,LONGI,17,JE,1902,AMNH,380887,9.6,4.3,3,2.1,59.3,59.2,41.3,18.9,14,NA,YELLOW,AESTIVA,-73.5,40.75,NA,NA,ywar6
43,531,1,531,1,NEWYORK,SHELTE,5,JE,1887,AMNH,506630,8.7,3.9,2.8,1.9,59.2,58.3,40.9,18.5,11.3,NA,YELLOW,AESTIVA,-73.5,40.75,NA,NA,ywar6
44,570,1,570,5,TEXAS,FTHANCOC,10,JE,1893,AMNH,69135,9.7,4.6,2.9,1.7,63.2,63.6,47.3,18.1,14.1,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
45,571,1,571,5,TEXAS,FTHANCOC,9,JE,1893,AMNH,69133,8.9,3.9,2.9,1.8,58.2,56.7,43.9,18,12.8,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
46,572,1,572,5,TEXAS,FTHANCOC,8,JE,1893,AMNH,69137,9.6,4.4,3.1,1.8,62,61.1,43.8,18.1,15.7,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
47,573,1,573,5,TEXAS,FTDAVIS,6,JE,1887,AMNH,85250,9.3,4.2,2.9,1.6,60.1,60.4,44,16.8,11.4,NA,YELLOW,SONORANA,-102,30,NA,NA,NA
48,574,1,574,5,CALIFORNIA,COLU,13,JE,1896,AMNH,89456,9.5,3.8,2.9,2,60.4,60.3,45.9,18.1,12.8,NA,YELLOW,SONORANA,-122,38,ywar3,ywar3,ywar3
49,621,1,621,1,NEWJERSEY,WEST,6,JE,1898,AMNH,380860,9.4,3.8,3.3,1.9,63.8,62.2,43,18.6,11.4,NA,YELLOW,AESTIVA,-75,40,ywar6,ywar6,ywar6
50,622,1,622,1,NEWJERSEY,WEST,4,JL,1898,AMNH,380861,9,3.9,3.4,2.1,62.2,61.1,42.9,17.4,11.8,NA,YELLOW,AESTIVA,-75,40,ywar6,ywar6,ywar6
51,623,1,623,1,NEWJERSEY,CLIF,4,JE,1959,AMNH,781104,9.3,4,3.1,2,58.8,55.8,42.6,NA,11.7,13.5,YELLOW,AESTIVA,-75,40,ywar6,ywar6,ywar6
52,624,1,624,1,NEWYORK,TRENTO,7,JE,1886,AMNH,69542,9.7,3.9,3.1,1.9,60.9,61.2,43.8,18,13.5,NA,YELLOW,AESTIVA,-75,40,ywar6,ywar6,ywar6
53,625,1,625,1,DELAWARE,SEAFOR,13,JE,1908,AMNH,380824,9,3.9,3.1,1.6,63.2,58.8,42.3,18.4,13.4,NA,YELLOW,AESTIVA,-75.5,38,NA,NA,ywar6
54,646,1,646,1,QUEBEC,RIVIERE,13,JE,1896,AMNH,380958,8.9,4,3.1,1.8,61.1,59.8,42.3,17.5,13.6,NA,YELLOW,AESTIVA,-68,46,ywar6,ywar6,ywar6
55,647,1,647,2,ALBERTA,WALSH,11,JL,1906,AMNH,380952,9.4,4.2,3.1,1.8,63.6,61.4,45.3,18.5,12.8,NA,YELLOW,AMNICOLA,-110,48,ywar3,ywar3,ywar3
56,680,1,680,1,SASKATCHEWAN,MA,5,JL,1906,AMNH,380965,8.8,3.9,3.2,1.9,60.4,60.4,44.1,18.5,12.2,NA,YELLOW,AESTIVA,-108,48,ywar3,ywar3,ywar3
57,681,1,681,1,SASKATCHEWAN,MA,16,JL,1906,AMNH,380966,8.7,3.6,3.1,1.7,62.6,59.3,44.4,17.7,11.6,NA,YELLOW,AESTIVA,-108,48,ywar3,ywar3,ywar3
58,682,1,682,1,SASKATCHEWAN,MA,5,JL,1906,AMNH,380964,9.5,4.1,3.3,1.8,62.4,61.3,45.2,19.1,14.3,NA,YELLOW,AESTIVA,-108,48,ywar3,ywar3,ywar3
59,683,1,683,1,SASKATCHEWAN,MA,4,JL,1906,AMNH,380962,9.8,4,3,1.7,63.4,61.3,44,18.6,14.4,NA,YELLOW,AESTIVA,-108,48,ywar3,ywar3,ywar3
60,684,1,684,1,NEWFOUNDLAND,HA,22,JE,1914,AMNH,380955,9.4,3.8,2.7,1.9,62.6,63,47.3,18.6,14.3,NA,YELLOW,AESTIVA,-58,48,ywar6,ywar6,ywar6
61,706,1,706,1,KANSAS,STRONG,14,JL,1891,AMNH,380836,9.2,4,3.2,1.7,61.7,59.6,41.9,17.9,11.7,NA,YELLOW,AESTIVA,-96,38,ywar5,ywar5,ywar5
62,707,1,707,1,NEWYORK,BAYSHO,15,JE,1908,AMNH,380882,8.9,4.3,3.4,2,60.4,59.9,44.5,18.4,12,NA,YELLOW,AESTIVA,-73.5,40.75,NA,NA,ywar6
63,710,1,710,4,CALIFORNIA,NICA,4,JE,1914,AMNH,380985,8.4,3.9,3.3,1.6,59.5,58.4,44,17.3,12,NA,YELLOW,MORCOMI,-121.5,36,ywar3,ywar3,ywar3
64,711,1,711,1,NEWMEXICO,TAOS,6,JE,1918,AMNH,380948,9,4.3,3.2,1.7,61.3,60.3,45.2,18.7,13.9,NA,YELLOW,AESTIVA,-104,36,ywar3,ywar3,ywar3
