,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
93,942,1,942,5,NEWMEXICO,HOT,29,JE,1968,USNM,525693,8.9,4.2,3,1.8,58.7,59.1,47,17.7,12.4,NA,YELLOW,SONORANA,-106,32,ywar3,ywar3,ywar3
94,943,1,943,5,ARIZONA,SANTAC,9,JE,1893,USNM,128955,8.9,4.3,2.9,1.8,61.1,60.6,43,17.6,9.7,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
95,944,1,944,5,ARIZONA,SANTAC,15,JE,1893,USNM,128956,8.4,4.5,3.1,1.9,59.7,61.1,44.3,17.7,14.3,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
96,945,1,945,5,ARIZONA,SANTAC,24,JE,1893,USNM,128964,8.7,4,3.1,1.6,62.2,59.2,44.7,17.3,8.3,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
97,946,1,946,5,ARIZONA,SANTAC,6,JE,1893,USNM,128953,9.1,3.8,3.1,1.8,64.8,61.5,46.5,16.8,12.4,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
98,947,1,947,5,ARIZONA,SANTAC,22,JE,1893,USNM,128963,8.9,4.2,2.9,1.6,62.7,64.5,45.3,17.6,11.3,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
99,948,1,948,5,TEXAS,FTHANCOC,12,JE,1893,USNM,134388,9,4.7,3.1,2.1,64.6,63.7,45.3,18.3,12.5,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
100,949,1,949,5,TEXAS,FTHANCOC,12,JE,1893,USNM,134386,9.5,4,2.7,1.9,59.9,60.1,43.1,18.3,14.7,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
101,950,1,950,5,TEXAS,FTHANCOC,24,JE,1893,USNM,134389,9.5,4.2,2.8,2.1,59.5,58.8,44.9,16.9,14.6,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
102,951,1,951,5,ARIZONA,FISHCR,10,JE,1916,USNM,242003,9.3,4.3,3,2,61,61.8,46,18.1,9.8,NA,YELLOW,SONORANA,-110,32,ywar3,ywar3,ywar3
103,952,1,952,5,NEWMEXICO,RED,14,JE,1968,USNM,525691,9.1,4.1,2.9,1.7,63.3,62.9,45.2,17.5,11.9,NA,YELLOW,SONORANA,-108,32,ywar3,ywar3,ywar3
104,967,1,967,5,TEXAS,FTHANCOC,8,JE,1893,USNM,134387,9.6,4.1,3.1,1.7,66.4,64.5,47.5,17.9,13.7,NA,YELLOW,SONORANA,-104,30,NA,NA,NA
105,975,1,975,4,WASHINGTON,UNIO,1,JE,1949,USNM,397395,8,3.8,2.9,1.6,60.7,60.2,41.9,16.7,10.8,NA,YELLOW,MORCOMI,-116,46,ywar3,ywar3,ywar3
106,976,1,976,4,NEVADA,ELKO,3,JE,1898,USNM,159078,8.9,4.1,2.8,1.9,58.9,59.1,41,18.3,11.2,NA,YELLOW,MORCOMI,-114,40,ywar3,ywar3,ywar3
107,978,1,978,4,CALIFORNIA,HORN,15,JE,1897,USNM,157543,9.1,3.9,2.8,1.8,60.6,60.6,44.3,18.2,13,NA,YELLOW,MORCOMI,-122,40,ywar3,ywar3,ywar3
108,979,1,979,4,CALIFORNIA,OWEN,12,JE,1891,USNM,137563,8.8,4.3,3.1,1.9,60.2,60.2,44.4,17.8,12.5,NA,YELLOW,MORCOMI,-116,36,NA,NA,ywar3
109,980,1,980,4,WYOMING,PINEDAL,24,JL,1911,USNM,230330,8.8,3.9,2.5,1.6,59.5,58.1,42.3,18.6,8.9,NA,YELLOW,MORCOMI,-108,42,ywar3,ywar3,ywar3
110,981,1,981,4,BRITCOL,PORTM,5,JL,1897,USNM,156367,9.5,4.1,2.9,1.8,62.4,61.6,42.7,18.7,12.5,NA,YELLOW,MORCOMI,-122,48,ywar4,ywar4,ywar4
111,982,1,982,4,CALIFORNIA,CHIC,12,JL,1906,USNM,203482,9.1,2.9,3.4,1.5,61.7,60.7,41.1,18.2,13.5,NA,YELLOW,MORCOMI,-120,38,ywar3,ywar3,ywar3
112,991,1,991,4,WASHINGTON,SPOK,11,JE,1948,USNM,395261,9.6,3,3.1,1.7,61.8,62.6,43,17.2,13.6,NA,YELLOW,MORCOMI,-116,46,ywar3,ywar3,ywar3
113,992,1,992,4,WASHINGTON,MTV,24,JE,1897,USNM,156402,8.8,3.8,2.8,1.5,62.2,59.9,43.6,18.3,12.8,NA,YELLOW,MORCOMI,-122,48,ywar4,ywar4,ywar4
114,993,1,993,4,WASHINGTON,ODES,20,JE,1918,USNM,262447,9,4.5,3.5,2.1,61.5,63.4,45.7,18.3,10.7,NA,YELLOW,MORCOMI,-118,46,ywar4,ywar4,ywar4
115,994,1,994,4,IDAHO,MOSCOW,23,JE,1948,USNM,395267,8.4,4.1,3,1.5,62.7,62.4,42.7,18.8,10.1,NA,YELLOW,MORCOMI,-116,46,ywar3,ywar3,ywar3
